"id","code","amount","user_id","created_at","updated_at"
78,"T_557_zwguofjny",2513.49,1724,"2020-01-19 16:08:59","2020-01-19 16:08:59"
79,"T_509_qrzpxfnbk",3357.22,8574,"2020-01-19 16:08:59","2020-01-19 16:08:59"
80,"T_242_tyglkcjxo",240.18,4005,"2020-01-19 16:08:59","2020-01-19 16:08:59"
81,"T_514_jicraifpj",9252.21,541,"2020-01-19 16:08:59","2020-01-19 16:08:59"
82,"T_714_ofpomwdfw",7475.07,9655,"2020-01-19 16:08:59","2020-01-19 16:08:59"
83,"T_550_jvltclqwp",4910.63,1619,"2020-01-19 16:08:59","2020-01-19 16:08:59"
84,"T_148_wdcznkgic",4571.82,8642,"2020-01-19 16:08:59","2020-01-19 16:08:59"
85,"T_705_galluaqty",8504.33,5727,"2020-01-19 16:08:59","2020-01-19 16:08:59"
86,"T_899_vlpnztojx",7566.62,1936,"2020-01-19 16:08:59","2020-01-19 16:08:59"
87,"T_722_dqfnksnqo",6881.46,9900,"2020-01-19 16:08:59","2020-01-19 16:08:59"
88,"T_411_jptxwbety",7166.86,4828,"2020-01-19 16:08:59","2020-01-19 16:08:59"
89,"T_000_xmnzboeld",9589.13,2684,"2020-01-19 16:08:59","2020-01-19 16:08:59"
90,"T_678_hcxdmmcde",5286.49,1338,"2020-01-19 16:08:59","2020-01-19 16:08:59"
91,"T_613_pnyymkeho",9400.34,4653,"2020-01-19 16:08:59","2020-01-19 16:08:59"
92,"T_489_omimaakqo",2058.72,8807,"2020-01-19 16:08:59","2020-01-19 16:08:59"
93,"T_748_vephvwnjn",4831.98,420,"2020-01-19 16:08:59","2020-01-19 16:08:59"
94,"T_911_dloibftfj",1804.67,514,"2020-01-19 16:08:59","2020-01-19 16:08:59"
95,"T_677_tpxmkdabf",4800.64,2289,"2020-01-19 16:08:59","2020-01-19 16:08:59"
96,"T_011_qwhmkrhql",5164.78,9116,"2020-01-19 16:08:59","2020-01-19 16:08:59"
97,"T_346_ivqjhurnv",6423.57,2214,"2020-01-19 16:08:59","2020-01-19 16:08:59"
98,"T_463_jqixkploc",2547.1,485,"2020-01-19 16:08:59","2020-01-19 16:08:59"
99,"T_217_orikmnjie",2977.93,1399,"2020-01-19 16:08:59","2020-01-19 16:08:59"
100,"T_924_zduerrqxw",3491.17,7253,"2020-01-19 16:08:59","2020-01-19 16:08:59"
